registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
6046;12;44;2.RELLENOS;IDU;917;923;1001222;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;6;2.6;0.35;5.46;132363;722702;OCCIDENTAL;VIA;VIA;91062404;TRAMO 1;estabilizacion de subrasante  con rajon en via;2
6047;12;44;2.RELLENOS;IDU;910;913.6;1001222;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;3.6;3.7;0.35;4.66;132363;616812;OCCIDENTAL;VIA;VIA;91062404;TRAMO 1;estabilizacion de subrasante con rajon en via;2
6048;12;44;2.RELLENOS;IDU;910;911;1001222;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;1;4;0.35;1.4;132363;185308;OCCIDENTAL;VIA;VIA;91062404;TRAMO 1;estabilizacion de subrasante con rajon en via;2
6049;12;44;2.RELLENOS;IDU;500;510;1001348;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;10;8.5;0.4;34;132363;4500342;ORIENTAL;VIA;VIA;91062402;TRAMO 1;estabilizacion de subrasante con rajon en via;2
6050;12;44;2.RELLENOS;IDU;981;990.5;1001082;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;9.5;3.4;0.35;11.3;132363;1495702;OCCIDENTAL;VIA;VIA;91062406;TRAMO 1;estabilizacion de subrasante con rajon en via;2
6051;12;44;2.RELLENOS;IDU;981;990.5;1001082;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;9.5;2.25;0.35;7.48;132363;990075;OCCIDENTAL;VIA;VIA;91062406;TRAMO 1;estabilizacion de subrasante con rajon en via;2
6052;12;45;2.RELLENOS;IDU;140;161;1001382;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;21;10;0.4;84;132363;11118492;ORIENTAL;VIA;VIA;503551;TRAMO 1;estabilizacion de subrasante en via con rajon;2
6053;12;45;2.RELLENOS;IDU;120;140;1001382;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;20;10;0.4;80;132363;10589040;ORIENTAL;VIA;VIA;503551;TRAMO 1;estabilizacion de subrasante con rajon en via;2
6054;12;45;2.RELLENOS;IDU;895;902.5;1001222;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;7.4;4;0.35;10.36;132363;1371281;OCCIDENTAL;CLL180;CLL181;91062404;TRAMO 1;instalación de rajón para conformacion de estructura de vía;2
6055;12;45;2.RELLENOS;IDU;1550;1550;1006975;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;4.6;1;0.4;1.84;132363;243548;ORIENTAL;PZ85A;SUM;91062385;TRAMO 2;instalación de rajón sobre estructura de vía para instalacion de tuberia;2
