registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
49473;71;269;4.ESPACIO PUBLICO;IDU;-34;-32;1001383;4.03.;PISO EN ADOQUIN DE CONCRETO A25 20x10x6cm (Suministro e Instalación. Incluye Base 3cm Arena Nivelación y Arena de Sello);M2;2.8;0.5;0;1.4;54194;75872;OCCIDENTAL;CRA 9 ;Calle 170;507837;TRAMO 1;Instalación de adoquín en concreto -ABS:-34.00--32.00;2
49472;71;269;8.CODENSA REDES SECAS;IDU;-34;-32;1001383;8.07.;RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (Suministro, Extendido, Humedecimiento y Compactación);M3;2.8;0.5;0.2;0.28;59152;16563;OCCIDENTAL;CRA 9 ;Calle 170;507837;TRAMO 1;Relleno de excavación con material seleccionado B200-ABS:-34.00--32.00;2
49471;71;269;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;-34;-32;1001383;9.40.;RELLENO PARA REDES EN ARENA DE PEÑA (Suministro, Extendido, Humedecimiento y Compactación);M3;2.8;0.8;0.15;0.34;83639;28437;OCCIDENTAL;CRA 9 ;Calle 170;507837;TRAMO 1;Cama y recubrimiento con arena de peña de protección para tubería de semaforización -ABS:-34.00--32.00;2
49470;71;269;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;-34;-32;1001383;9.43.;"2 DUCTOS D=3"" PVC-TDP (Incluye Suministro e Instalación. No Incluye Rellenos)";ML;2.9;0;0;2.9;22911;66442;OCCIDENTAL;CRA 9 ;Calle 170;507837;TRAMO 1;"Instalación de tubería de PVC de 3"" dos ductos -ABS:-34.00--32.00";2
49469;71;269;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;-34;-32;1001383;9.38.;EXCAVACION MANUAL PARA REDES PROFUNDIDAD 0m - 2m (Incluye Cargue);M3;2.8;0.5;0.5;0.7;23261;16283;OCCIDENTAL;CRA 9 ;Calle 170;507837;TRAMO 1;Excavación manual para instalación de tubería de semaforización -ABS:-34.00--32.00;2
49462;71;267;4.ESPACIO PUBLICO;IDU;-25;-5;1001385;NP-484;ROCERÍA DE PASTO PERFILADO, REBORDEO. NO INCLUYE RETIRO Y DISPOSICIÓN FINAL;M2;19.5;5.8;0;113.1;1470;166257;OCCIDENTAL;KR 9 CL 170;KR 9 CL 170;91062409;TRAMO 1;Roceria zona verde separado cll 170 -ABS:-25.00--5.00;2
49445;71;267;4.ESPACIO PUBLICO;IDU;440;446;1001348;NP-012;BANCA EN MADERA TIPO M50 (Suministro e Instalación);UN;2;0;0;2;469386;938772;ORIENTAL;KR 9 CL 172 A CL 173;KR 9 CL 172 A CL 173;92086798;TRAMO 1;Instalación de bancas en madera -ABS:440.00-446.00;2
49429;71;268;4.ESPACIO PUBLICO;IDU;902;905;1001222;NP-008;Subbase Granular Clase C.(SGBG-C) Con reciclado de concreto hidraulico. (suministro, Extendido Manual , Humedecimiento y Compacatacion con vibrocompactador);m3;3.5;8.8;0.35;10.78;121570;1310525;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;92086832;TRAMO 1;Instalación de material granular sub base reciclada tipo C -ABS:902.00-905.00;2
49423;71;268;4.ESPACIO PUBLICO;IDU;902;905;1001222;1.02.;EXCAVACION MECANICA EN MATERIAL COMUN (Incluye Cargue);M3;3.5;8.8;0.45;13.86;4819;66791;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;92086832;TRAMO 1;Excavación mecánica para estructura de espacio público -ABS:902.00-905.00;2
49422;71;266;4.ESPACIO PUBLICO;IDU;670;770;1001300;NP-012;BANCA EN MADERA TIPO M50 (Suministro e Instalación);UN;6;0;0;6;469386;2816316;ORIENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;92086799;TRAMO 1;Instalación de bancas de madera sobre espacio público y entrada universidad -ABS:670.00-770.00;2
